id	family	query	expected	attempts	planner_status	repairs	raw_e2b_output	first_invalid_output	accepted_summary	executable_plan
001	scene	sunset pictures	browse; media photos; semantic sunset	1	ACCEPTED	0	"{""v"":2,""q"":""sunset pictures"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""sunset"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == sunset]	[mime type == photos] && [semantic == sunset]
002	scene	beach photos	browse; media photos; semantic beach	1	ACCEPTED	0	"{""v"":2,""q"":""beach photos"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""beach"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == beach]	[mime type == photos] && [semantic == beach]
003	scene	dogs running	browse; one semantic dogs running	1	ACCEPTED	0	"{""v"":2,""q"":""dogs running"",""intent"":""browse"",""ops"":[[""term"",""dogs running"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == dogs running]	[semantic == dogs running]
004	scene	cycling in rain	browse; one semantic cycling in rain	1	ACCEPTED	0	"{""v"":2,""q"":""cycling in rain"",""intent"":""browse"",""ops"":[[""term"",""cycling in rain"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == cycling in rain]	[semantic == cycling in rain]
005	scene	snowy mountains	browse; one semantic snowy mountains	1	ACCEPTED	0	"{""v"":2,""q"":""snowy mountains"",""intent"":""browse"",""ops"":[[""term"",""snowy mountains"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == snowy mountains]	[semantic == snowy mountains]
006	scene	food on a table	browse; one semantic food on a table	1	ACCEPTED	0	"{""v"":2,""q"":""food on a table"",""intent"":""browse"",""ops"":[[""term"",""food on table"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == food on table]	[semantic == food on table]
007	scene	indoor birthday party	browse; one semantic indoor birthday party	1	ACCEPTED	0	"{""v"":2,""q"":""indoor birthday party"",""intent"":""browse"",""ops"":[[""term"",""indoor birthday party"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == indoor birthday party]	[semantic == indoor birthday party]
008	scene	night city lights	browse; one semantic night city lights	1	ACCEPTED	0	"{""v"":2,""q"":""night city lights"",""intent"":""browse"",""ops"":[[""term"",""night city lights"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == night city lights]	[semantic == night city lights]
009	scene	kids playing football	browse; one semantic kids playing football	1	ACCEPTED	0	"{""v"":2,""q"":""kids playing football"",""intent"":""browse"",""ops"":[[""term"",""kids playing football"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == kids playing football]	[semantic == kids playing football]
010	scene	red car	browse; one semantic red car	1	ACCEPTED	0	"{""v"":2,""q"":""red car"",""intent"":""browse"",""ops"":[[""term"",""red car"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == red car]	[semantic == red car]
